state_code,year,forecasted_score,forecast_ci_low,forecast_ci_high,model_used
JOH,2026,0.38592824,0.29629289454016294,0.4755635922571698,XGBoost (pooled)
KDH,2026,0.35821953,0.2685841853002032,0.4478548830172101,XGBoost (pooled)
KTN,2026,0.101864666,0.012229316888185376,0.1915000146051923,XGBoost (pooled)
KUL,2026,0.35702533,0.2673899764398059,0.44666067415681276,XGBoost (pooled)
LBN,2026,0.03251254,0.0,0.12214789071884549,XGBoost (pooled)
MLK,2026,0.057543557,0.0,0.14717890599575437,XGBoost (pooled)
NSN,2026,0.22246672,0.13283137327227199,0.3121020709892789,XGBoost (pooled)
PHG,2026,0.33279678,0.24316143339666926,0.42243213111367617,XGBoost (pooled)
PJY,2026,0.06629046,0.0,0.15592580938544667,XGBoost (pooled)
PLS,2026,0.048596974,0.0,0.1382323233207742,XGBoost (pooled)
PNG,2026,0.46521494,0.3755795890668353,0.5548502867838422,XGBoost (pooled)
PRK,2026,0.18417203,0.09453668540510737,0.2738073831221143,XGBoost (pooled)
SBH,2026,0.5791181,0.48948272412809934,0.6687534218451062,XGBoost (pooled)
SGR,2026,0.47697753,0.3873421782830676,0.5666128760000745,XGBoost (pooled)
SWK,2026,0.22181773,0.13218238299879634,0.31145308071580324,XGBoost (pooled)
TRG,2026,0.22192477,0.13228941803965175,0.31156011575665865,XGBoost (pooled)
JOH,2027,0.34379867,0.21703514116871978,0.4705621932161984,XGBoost (pooled)
KDH,2027,0.35821953,0.23145600813496733,0.48498306018244597,XGBoost (pooled)
KTN,2027,0.101864666,0.0,0.22862819177042817,XGBoost (pooled)
KUL,2027,0.3573836,0.23062008279431487,0.4841471348417935,XGBoost (pooled)
LBN,2027,0.03251254,0.0,0.15927606788408136,XGBoost (pooled)
MLK,2027,0.057543557,0.0,0.18430708316099023,XGBoost (pooled)
NSN,2027,0.22087486,0.09411133485901976,0.3476383869064984,XGBoost (pooled)
PHG,2027,0.33171538,0.20495184916127349,0.4584789012087521,XGBoost (pooled)
PJY,2027,0.06621214,0.0,0.19297566604744767,XGBoost (pooled)
PLS,2027,0.048596974,0.0,0.17536050048601007,XGBoost (pooled)
PNG,2027,0.4686212,0.3418576683389011,0.5953847203863797,XGBoost (pooled)
PRK,2027,0.18417203,0.05740850823987151,0.31093556028735014,XGBoost (pooled)
SBH,2027,0.5791181,0.4523545469628635,0.7058815990103421,XGBoost (pooled)
SGR,2027,0.47697753,0.35021400111783174,0.6037410531653103,XGBoost (pooled)
SWK,2027,0.22181773,0.09505420583356047,0.3485812578810391,XGBoost (pooled)
TRG,2027,0.22192477,0.09516124087441588,0.3486882929218945,XGBoost (pooled)
JOH,2028,0.3447203,0.18946732563520963,0.49997328238938754,XGBoost (pooled)
KDH,2028,0.35821953,0.2029665557816177,0.5134725125357956,XGBoost (pooled)
KTN,2028,0.101864666,0.0,0.2571176441237778,XGBoost (pooled)
KUL,2028,0.3573836,0.20213063044096524,0.5126365871951432,XGBoost (pooled)
LBN,2028,0.03251254,0.0,0.18776552023743098,XGBoost (pooled)
MLK,2028,0.057543557,0.0,0.21279653551433986,XGBoost (pooled)
NSN,2028,0.22087486,0.06562188250567014,0.37612783925984805,XGBoost (pooled)
PHG,2028,0.33194315,0.17669017595793302,0.48719613271211093,XGBoost (pooled)
PJY,2028,0.06621214,0.0,0.2214651184007973,XGBoost (pooled)
PLS,2028,0.048596974,0.0,0.2038499528393597,XGBoost (pooled)
PNG,2028,0.4686212,0.3133682159855514,0.6238741727397293,XGBoost (pooled)
PRK,2028,0.18417203,0.028919055886521883,0.3394250126406998,XGBoost (pooled)
SBH,2028,0.5791181,0.4238650946095138,0.7343710513636917,XGBoost (pooled)
SGR,2028,0.47697753,0.3217245487644821,0.63223050551866,XGBoost (pooled)
SWK,2028,0.22181773,0.06656475348021085,0.37707071023438876,XGBoost (pooled)
TRG,2028,0.22192477,0.06667178852106626,0.37717774527524417,XGBoost (pooled)
