state_code,year,economic_score,environmental_score,social_score,mytourismsci_score,rank,median_rank,rank_5th,rank_95th,rank_stability
JOH,2020,0.3433924362290387,0.36824131314183645,0.5747234075060358,0.40024635916090084,4,4.0,2.0,5.0,1.0
JOH,2021,0.3476148553355889,0.08045818765391957,0.5632661702476375,0.2349997142490132,7,7.0,6.0,8.0,1.0
JOH,2022,0.3330448069300672,0.1956987971860647,0.6564534536180849,0.3276105701828836,5,5.0,5.0,5.0,1.0
JOH,2023,0.30190927793139055,0.3116163636404996,0.6588903890610649,0.37104020080965155,4,4.0,4.0,5.0,1.0
JOH,2024,0.5013735219971155,0.3342566841299281,0.6289533423018198,0.46041260009198176,3,3.0,2.0,3.0,1.0
JOH,2025,0.5341303095231114,0.18922010840261214,0.6232367076259971,0.3860652353682522,4,4.0,4.0,6.0,1.0
KDH,2020,0.2294900672744932,0.3242376466207225,0.6104450744183694,0.33076489409785936,7,7.0,5.0,8.0,1.0
KDH,2021,0.12538926346263676,0.3767673263903309,0.5518387010972002,0.2669210415889562,6,6.0,3.0,10.0,0.899
KDH,2022,0.05906828971392538,0.3736725449419836,0.6040457198836965,0.20145642733035177,9,9.0,7.0,11.049999999999955,0.964
KDH,2023,0.02419437128232873,0.3542609917246801,0.593563383423033,0.13775763514677958,12,12.0,7.0,13.0,0.862
KDH,2024,0.2756855891523179,0.361340678681307,0.5659287414070043,0.36276632316207624,4,4.0,4.0,6.0,1.0
KDH,2025,0.27967227975955755,0.34023476968835453,0.5611075071311727,0.3564871103993799,5,6.0,4.0,6.0,1.0
KTN,2020,0.22656695377040217,0.05591257224415394,0.01984839899393916,0.07553327439384099,13,13.0,12.0,14.0,1.0
KTN,2021,0.2887478591771113,0.04256707509536493,0.016417129341075073,0.07214523418662806,13,13.0,12.0,14.0,1.0
KTN,2022,0.43479593224079927,0.060143737401063435,0.01943191632936746,0.1000367885250834,12,12.0,10.0,14.0,0.999
KTN,2023,0.4581018221885008,0.06179638529676254,0.018666036610690898,0.10209040139054835,13,13.0,12.0,13.0,0.994
KTN,2024,0.49427742266372193,0.06254071593877682,0.019441115272858328,0.10676418771650613,12,12.0,12.0,14.0,0.998
KTN,2025,0.45746127092637456,0.05783738092290943,0.019785728755120847,0.1011585887801669,12,12.0,12.0,14.0,1.0
KUL,2020,0.5115467992301387,0.11358550215345978,0.8710739932992003,0.34508884932544426,6,6.0,1.0,8.0,0.86
KUL,2021,0.5207892212798736,0.11123764215300014,0.9678366092022537,0.35424475392300553,3,3.0,1.0,6.0,1.0
KUL,2022,0.7273776080555467,0.12011262359469105,0.9255206245039369,0.41129793104636825,3,3.0,1.0,4.0,0.985
KUL,2023,0.6965481350944628,0.026492508868700512,0.9385006759411005,0.23899134968185978,7,7.0,4.0,11.0,0.855
KUL,2024,0.4276689297370517,0.11927536373963157,0.9302014266954161,0.33218505726312014,5,5.0,4.0,6.0,1.0
