state_code,feature,shap_value,shap_rank
JOH,mytourismsci_score_lag1,0.059424773,1
JOH,green_hotel_count,0.05749706,2
JOH,wqi_annual,-0.038025867,3
KDH,green_hotel_count,0.05895765,1
KDH,mytourismsci_score_lag1,0.03975651,2
KDH,alos_nights,0.03714046,3
KTN,mytourismsci_score_lag1,-0.06595607,1
KTN,green_hotel_count,-0.056944482,2
KTN,dts_rooms_count,-0.03239174,3
KUL,green_hotel_count,0.053746656,1
KUL,mytourismsci_score_lag1,0.038023088,2
KUL,dts_rooms_count,0.035142027,3
LBN,mytourismsci_score_lag1,-0.07494477,1
LBN,green_hotel_count,-0.056920834,2
LBN,dts_rooms_count,-0.032076407,3
MLK,mytourismsci_score_lag1,-0.055347368,1
MLK,green_hotel_count,-0.04110189,2
MLK,dts_rooms_count,-0.030009938,3
NSN,green_hotel_count,-0.038064305,1
NSN,mytourismsci_score_lag1,0.027463265,2
NSN,dts_rooms_count,-0.025344325,3
PHG,green_hotel_count,0.03930689,1
PHG,mytourismsci_score_lag1,0.037454683,2
PHG,dts_rooms_count,0.034184135,3
PJY,mytourismsci_score_lag1,-0.07238209,1
PJY,green_hotel_count,-0.05854385,2
PJY,dts_rooms_count,-0.027245967,3
PLS,mytourismsci_score_lag1,-0.07143831,1
PLS,green_hotel_count,-0.059631232,2
PLS,dts_rooms_count,-0.032479767,3
PNG,green_hotel_count,0.06520333,1
PNG,dts_rooms_count,0.04851605,2
PNG,mytourismsci_score_lag1,0.045823205,3
PRK,green_hotel_count,-0.049344454,1
PRK,dts_rooms_count,-0.029186696,2
PRK,alos_nights,0.00862183,3
SBH,green_hotel_count,0.07519615,1
SBH,mytourismsci_score_lag1,0.07146739,2
SBH,dts_rooms_count,0.058114924,3
SGR,green_hotel_count,0.073096596,1
SGR,mytourismsci_score_lag1,0.06438991,2
SGR,dts_rooms_count,0.0438606,3
SWK,green_hotel_count,-0.04884238,1
SWK,alos_nights,0.02505302,2
SWK,dts_rooms_count,-0.02354116,3
TRG,green_hotel_count,-0.046484586,1
TRG,dts_rooms_count,-0.025729042,2
TRG,alos_nights,0.022656089,3
