state_code,coastal_area_fraction,pa_area_fraction,total_hotels,estimated_coastal_hotels,estimated_pa_hotels
JOH,0.149069,0.332475,56,8,19
KDH,0.189091,0.150983,49,9,7
KTN,0.05584,0.286271,7,0,2
MLK,0.21115,0.129279,66,14,9
NSN,0.035634,0.408746,37,1,15
PHG,0.027,0.492984,57,2,28
PRK,0.092434,0.393332,34,3,13
PLS,0.515159,0.217586,5,3,1
PNG,0.527119,0.170897,91,48,16
SBH,0.143033,0.615656,62,9,38
SWK,0.114842,0.113466,52,6,6
SGR,0.17425,0.39766,68,12,27
TRG,0.094686,0.394549,48,5,19
KUL,0.0,0.724288,111,0,80
LBN,1.0,0.0755,4,4,0
PJY,0.0,0.143691,8,0,1
