state_code,year,alos_nights,avg_expenditure_rm,domestic_visitors_000,tourism_receipts_rm_mil,tourism_trips_000,dts_hotels_count,dts_rooms_count,population,hh_water_access,wqi_annual,n_rivers,waste_tonnes,coastal_area_fraction,pa_area_fraction,estimated_coastal_hotels,estimated_pa_hotels,motac_hotels_rated_count,green_hotel_count,tourism_concentration_ratio,expenditure_per_visitor,hotel_density_per_capita,green_hotel_share,international_arrivals_share
JOH,2020,1.85128755704271,307.209676564561,7242.508,2431.61988775028,7915.18,964.0,62132.0,4009.7,99.9,79.54,202.0,,0.149069,0.332475,8,19,56,3.0,1.8062468513853904,335.74279624548296,1.3966132129585755,0.05357142857142857,
JOH,2021,2.06019814260457,329.657934218747,3657.55,1251.84930290302,3797.419,964.0,62132.0,4020.0,99.9,68.0,16.0,,0.149069,0.332475,8,19,56,3.0,0.9098383084577115,342.26444010417356,1.3930348258706469,0.05357142857142857,
JOH,2022,2.33780774616398,377.043749901138,12376.202,4888.35148006201,12964.945,972.0,63582.0,4028.3,99.6,60.84,38.0,2664.74,0.149069,0.332475,8,19,56,3.0,3.0723138793039246,394.9799364992596,1.390164585557183,0.05357142857142857,
JOH,2023,2.17607397828371,406.163243302521,15804.89,6699.11884569231,16493.661,968.0,62368.0,4100.9,99.6,66.08,37.0,,0.149069,0.332475,8,19,56,3.0,3.8540052183667,423.86368052497113,1.3655539028018242,0.05357142857142857,
JOH,2024,2.54702302372368,406.918700399463,17138.338,7814.41585763373,19203.875,976.0,63942.0,,,67.74,23.0,,0.149069,0.332475,8,19,56,3.0,,455.96112398026753,,0.05357142857142857,
JOH,2025,2.67977442484637,410.555112266633,18196.973,8722.92495205821,21246.6601716389,950.0,67536.0,,,58.61,18.0,,0.149069,0.332475,8,19,56,3.0,,479.36131751463336,,0.05357142857142857,
KDH,2020,1.97006129028332,219.32925432476,10108.084,2272.69214593496,10362.011,350.0,26308.0,2131.4,99.5,81.03,60.0,,0.189091,0.150983,9,7,49,4.0,4.742462231397204,224.83906405357928,2.2989584310781646,0.08163265306122448,
KDH,2021,1.96227888195383,198.597143510098,4023.002,842.205404074748,4240.773,350.0,26308.0,2151.7,99.5,88.08,26.0,,0.189091,0.150983,9,7,49,4.0,1.869685365060185,209.34749823011475,2.2772691360319746,0.08163265306122448,
KDH,2022,2.1120801053992,291.717080303793,11186.197,3469.82268561478,11894.479,352.0,26502.0,2163.1,99.6,82.67,33.0,9036.19,0.189091,0.150983,9,7,49,4.0,5.171373029448477,310.187875791458,2.2652674402477926,0.08163265306122448,
KDH,2023,2.02721858973257,307.335602280863,13444.055,4206.61948328264,13687.381,350.0,26308.0,2187.5,99.6,81.0,39.0,,0.189091,0.150983,9,7,49,4.0,6.145853714285715,312.89811617719806,2.2399999999999998,0.08163265306122448,
KDH,2024,2.76758567052739,310.379378725278,14651.4879543306,4961.15023607227,15984.149,350.0,26308.0,,,80.5,30.0,,0.189091,0.150983,9,7,49,4.0,,338.61067568948744,,0.08163265306122448,
KDH,2025,2.8191254738061,312.760864144746,15607.884,5520.25004061484,17650.0664675874,358.0,27078.0,,,75.83,23.0,,0.189091,0.150983,9,7,49,4.0,,353.6834359234628,,0.08163265306122448,
KTN,2020,1.85860052110295,236.765634074902,6058.183,1555.12261713697,6568.194,182.0,8720.0,1792.5,67.9,81.88,74.0,,0.05584,0.286271,0,2,7,,3.379739470013947,256.6978609158835,0.3905160390516039,0.0,
KTN,2021,3.13854552971283,242.037098915131,1920.93,477.222127559975,1971.69,182.0,8720.0,1812.3,67.9,72.11,36.0,,0.05584,0.286271,0,2,7,,1.0599404072173482,248.43285677248778,0.3862495171881035,0.0,
KTN,2022,3.15837090332652,294.432794968762,6627.155,2586.22406280686,8783.75,182.0,8720.0,1830.6,70.2,78.43,37.0,,0.05584,0.286271,0,2,7,,3.6202092210204304,390.2465028819848,0.3823882879930078,0.0,
KTN,2023,3.07348440786154,347.145908885391,7549.37,3228.385093431,9299.793,182.0,8720.0,1857.6,70.2,83.6,35.0,,0.05584,0.286271,0,2,7,,4.0640450043066325,427.63635819028605,0.3768303186907838,0.0,
KTN,2024,2.98185888956928,364.304223365218,10514.411,4540.61133613717,12463.79,182.0,8720.0,,,82.25,20.0,,0.05584,0.286271,0,2,7,,,431.84647586414206,,0.0,
KTN,2025,2.97778806075638,382.111877657725,12062.016,5239.00827617872,13710.6658612469,182.0,8720.0,,,76.08,24.0,,0.05584,0.286271,0,2,7,,,434.3393572167969,,0.0,
KUL,2020,1.83112388005242,398.777592465634,12434.908,5273.1884382134,13223.382,448.0,81794.0,1982.1,100.0,76.75,4.0,,0.0,0.724288,0,80,111,5.0,6.2736027445638465,424.0633254555161,5.600121083699107,0.04504504504504504,
KUL,2021,2.18218483160852,284.882732896089,9116.005,3083.51714291348,10823.812,448.0,81794.0,1964.0,100.0,74.33,3.0,,0.0,0.724288,0,80,111,5.0,4.641550407331975,338.25312106712096,5.651731160896131,0.04504504504504504,
KUL,2022,3.08657138827854,389.020732985364,16912.534,7732.79579884474,19877.593,492.0,91152.0,1961.2,100.0,,,139690.2,0.0,0.724288,0,80,111,5.0,8.623564144401387,457.222779202971,5.659800122374056,0.04504504504504504,
KUL,2023,2.69627870015068,457.903620471734,22232.643,10995.3241427932,24012.311,506.0,94354.0,1998.6,100.0,58.71,7.0,,0.0,0.724288,0,80,111,5.0,11.124108375863104,494.5576710242323,5.553887721404984,0.04504504504504504,
KUL,2024,2.2300972804998,459.460353091872,26982.957,14077.6575426553,30639.548,508.0,95050.0,,100.0,,,,0.0,0.724288,0,80,111,5.0,,521.7240476147704,,0.04504504504504504,
KUL,2025,2.3265985253546,467.418706413197,35059.9331815272,16906.1917737811,36169.2665308865,510.0,100846.0,,100.0,,,,0.0,0.724288,0,80,111,5.0,,482.20832841429484,,0.04504504504504504,
LBN,2020,1.57275972260956,552.75907426449,107.53,60.4403354573022,109.343,82.0,3394.0,95.1,100.0,94.0,2.0,,1.0,0.0755,4,0,4,,1.1307045215562566,562.0788194671459,4.206098843322819,0.0,
LBN,2021,2.52301554556841,544.651259476378,53.899,29.3567028857768,53.9,82.0,3394.0,96.0,100.0,91.0,1.0,,1.0,0.0755,4,0,4,,0.5614479166666667,544.6613645109705,4.166666666666666,0.0,
LBN,2022,3.67016447902791,517.931040914851,243.695,136.293553416743,263.15,82.0,3394.0,96.9,100.0,69.0,1.0,,1.0,0.0755,4,0,4,,2.514912280701754,559.2792359988633,4.12796697626419,0.0,
LBN,2023,2.88632094615376,520.517878972586,331.36,194.06416029947,372.829,82.0,3394.0,99.5,100.0,80.0,1.0,,1.0,0.0755,4,0,4,,3.3302512562814073,585.6595856454309,4.0201005025125625,0.0,
LBN,2024,2.83685525655005,549.076935864962,449.63,264.562838161687,481.832,82.0,3394.0,,100.0,,,,1.0,0.0755,4,0,4,,,588.4012146913841,,0.0,
